LabelName;LabelNumber;LED_394_SEN_AVG;LED_445_SEN_AVG;LED_490_SEN_AVG;LED_558_SEN_AVG;LED_592_SEN_AVG;LED_640_SEN_AVG;LED_700_SEN_AVG;LED_750_SEN_AVG;LED_800_SEN_AVG;LED_849_SEN_AVG;LED_890_SEN_AVG;LED_950_SEN_AVG
data#2025-2-20_11-57-59_dataFiles#S0001_20250219_234134_Target_c3f28a94-fa54-4049-8053-737d770c5a1d_R0001;1;-440.37250000000000227;0;0.94034886736987710609;-2.6030244530244526224;0.90201085443918727069;0.94379244074311330337;0.79439903118377219737;0.94379164142943661187;0.94174765435653773338;0.93569453839592953148;0.83865784499054818468;0.88451815038893677468
data#2025-2-20_11-57-59_dataFiles#S0001_20250219_234134_Target_c3f28a94-fa54-4049-8053-737d770c5a1d_R0002;2;-432.77249999999997954;0;0.93402429534843500747;-3.608043758043757876;0.88575006957973834165;0.94558341722339156465;0.75758401453224333277;0.94863718958207143839;0.94249994000911863079;0.93725919825887460402;0.82557385903321633958;0.86727528089887628848
data#2025-2-20_11-57-59_dataFiles#S0001_20250219_234134_Target_c3f28a94-fa54-4049-8053-737d770c5a1d_R0003;3;-409.25999999999999091;0;0.9208001902126923266;-3.7315315315315311651;0.87464514333426102155;0.92796925048046119411;0.74349076597033003644;0.93891580860084800086;0.93566097953111126984;0.93133584306343930592;0.82249527410207945444;0.86214347450302497577
data#2025-2-20_11-57-59_dataFiles#S0002_20250219_234417_65_f3d6e601-26dc-4266-9984-c0338e6afd4f_R0001;4;-11.494999999999999218;0;0.13191250216150784969;-5.0923423423423423984;0.095713888115780673682;0.11796101400201336462;0.071904329397517396938;0.48026953361599022951;0.56704100976651539145;0.54167965648069171802;0.45947880097218468665;0.46104148660328431175
data#2025-2-20_11-57-59_dataFiles#S0002_20250219_234417_65_f3d6e601-26dc-4266-9984-c0338e6afd4f_R0002;5;-18.572500000000001563;0;0.078235777278229279297;-5.4053410553410552453;0.077866685221263567951;0.11029285256703577622;0.073630033303057826344;0.46700484554815258065;0.53824898615410454727;0.52608893856063054795;0.39867674858223062229;0.4089023336214346882
data#2025-2-20_11-57-59_dataFiles#S0002_20250219_234417_65_f3d6e601-26dc-4266-9984-c0338e6afd4f_R0003;6;-13.489999999999998437;0;0.081192720041500951456;-5.471364221364221514;0.081171722794322290206;0.13220188523840029071;0.075643354526188311127;0.44980314960629919074;0.53852254457322479286;0.52653598423575775911;0.40970834458547122914;0.37482713915298182528
data#2025-2-20_11-57-59_dataFiles#S0003_20250219_234559_42_491ff229-f13a-4ae6-a4be-068547b4e16b_R0001;7;-0.94999999999999995559;0;0.081192720041500951456;-5.3601029601029601679;0.047989145560812684899;0.10657179463713735423;0.033938843475628213686;0.40069654754694122856;0.41672065845991407285;0.39457368900914674414;0.31735079665136378679;0.37913785652549697458
data#2025-2-20_11-57-59_dataFiles#S0003_20250219_234559_42_491ff229-f13a-4ae6-a4be-068547b4e16b_R0002;8;0.56999999999999995115;0;0.07610020750475531004;-5.4652509652509646543;0.049046757584191483237;0.10119886519630273691;0.030775052982137451885;0.40632949727437916998;0.40242723106087868734;0.38482250522043465191;0.31452876046448818848;0.35778954191875539381
data#2025-2-20_11-57-59_dataFiles#S0003_20250219_234559_42_491ff229-f13a-4ae6-a4be-068547b4e16b_R0003;9;0.52249999999999996447;0;0.071213038215459101288;-5.4921492921492918171;0.039396047870860005646;0.098208108355449810767;0.019845594913714802859;0.39569957601453664697;0.35154536510450412612;0.33737978294756032493;0.28630839859573314898;0.34896283491789104048
data#2025-2-20_11-57-59_dataFiles#S0004_20250219_234747_54_fa1f66f2-1f8e-409d-8a2e-fc9b0b6dc5e6_R0001;10;-11.732499999999999929;0;0.10989970603492996148;-5.4652509652509646543;0.054467019204007788291;0.06494463256154479891;0.018407508325764456586;0.38419139915202904501;0.45723010102464423099;0.45947913296667747263;0.33300027005130972135;0.37954840103716508404
data#2025-2-20_11-57-59_dataFiles#S0004_20250219_234747_54_fa1f66f2-1f8e-409d-8a2e-fc9b0b6dc5e6_R0002;11;-13.205000000000000071;0;0.090597440774684415143;-5.5141570141570142027;0.063456721402727511716;0.079585430584789965125;0.018407508325764456586;0.36162931556632343932;0.43908405922299809099;0.43056086585688652102;0.31273291925465840357;0.34732065687121865816
data#2025-2-20_11-57-59_dataFiles#S0004_20250219_234747_54_fa1f66f2-1f8e-409d-8a2e-fc9b0b6dc5e6_R0003;12;-0.76000000000000000888;0;0.08131592598997058885;-5.5373873873873877827;0.017582799888672420024;0.069830694609682428253;0.0037390251286709055151;0.34314052089642638199;0.42488181796366947252;0.41049969118555335035;0.29580070213340536878;0.31057692307692308376
