"sample";"ARI1";"ARI2";"CI";"CRI1";"CRI2";"Datt6";"DWSI4";"GI";"GM1";"GM2";"LIC1";"NDI";"NDVI";"NDVI4";"NDVIg";"PSNDa1";"PSNDc1";"PSSRa1";"PSSRc1";"RDVI";"RGI";"RGR";"RVI";"RVI2";"SAVI";"SIPI1";"SR.550.800.";"SR.556.750.";"SR.605.670.";"SR.555.675.";"SR.683.510.";"SR.694.840.";"SR.695.800.";"SR.750.705.";"SR.752.690.";"SR.800.600.";"SR.800.960.";"SR.810.560.";"WBI3"
1;-3.45822091786125;-3.17928555544002;1.29887843870984;3.11961673185147;-0.338604186009777;-2.65670357787302;-0.682670030926784;-0.682670030926784;-1.90264458650177;1.29887843870984;0.126582843773916;0.126582843773916;-0.0122657192875055;0.126582843773916;3.21571151027567;0.126582843773916;-0.0108342639961106;1.28985655450338;0.978563718342353;0.161713650577571;-1.46483653111652;-0.682670030926784;1.28985655450338;1.31811197403511;0.145346498957389;1026669.71103918;-0.529260427094257;-0.525584235276759;1.2804428883421;-0.682670030926784;0.758660887465212;0.773589689769323;0.775280008082001;1.29887843870984;1.29887843870984;1.00735188288911;1.0094401125559;-1.88942900093664;1.04435114504621
2;-2.61086782560251;-2.39120849782752;1.36199784456929;2.21636380422504;-0.394504021377471;-1.54507111988244;-1.27764721483138;-1.27764721483138;-1.06602028224908;1.36199784456929;0.145791763126137;0.145791763126137;-0.014890796536628;0.145791763126137;31.2937208364932;0.145791763126137;-0.0100825790650916;1.34134946686932;0.980036129175847;0.18433653407003;-0.782688670543519;-1.27764721483138;1.34134946686932;1.36867348757572;0.166585980551976;915679.86928974;-0.95250883262613;-0.938068455780422;1.32275783178713;-1.27764721483138;0.730634449397613;0.741907829803296;0.745517871889105;1.36199784456929;1.36199784456929;1.01405520695883;1.01705095640389;-1.0498590309582;1.03816014225436
3;-2.57177129646801;-2.33780941098577;1.37282051163976;2.16215957211641;-0.409611724351598;-1.47306181245935;-1.3845930429542;-1.3845930429542;-0.991497479079249;1.37282051163976;0.151617973394114;0.151617973394114;-0.0123266078325962;0.151617973394114;-234.224355063779;0.151617973394114;-0.00751584562833071;1.35742853723738;0.985080441839317;0.190502134820215;-0.722233875931063;-1.3845930429542;1.35742853723738;1.37798750191693;0.172722704282639;882658.241041592;-1.02001173908728;-1.00857543372541;1.33400107397466;-1.3845930429542;0.725695986798788;0.732145000715472;0.73668703181619;1.37282051163976;1.37282051163976;1.01756180240014;1.01387801127774;-0.980380873748387;1.03562212087269
4;10.0117925821523;5.43922568713992;-4.12528663138248;7.50007587427245;17.5118684564248;2.73623763529365;21.194845499859;21.194845499859;-0.194636315297034;-4.12528663138248;1.42475804070009;1.42475804070009;0.641027635487349;1.42475804070009;-1.48335011621196;1.42475804070009;0.583794466354802;-5.70856301320057;3.80531813809313;0.953749949898328;0.0471812828268389;21.194845499859;-5.70856301320057;-1.50015394404347;1.01008852570269;6991.25308546789;-3.71281624654886;-5.13778735727658;-1.2672814793631;21.194845499859;-0.666598254112927;-0.181183020949344;-0.175175433412504;-4.12528663138248;-4.12528663138248;4.50457385053044;1.0697564480753;-0.269337326060648;0.981162346312508
5;10.6345793911962;5.41321996868367;-4.28279945520642;11.0982592431836;21.7328386343797;2.61021004616713;23.8767599258375;23.8767599258375;-0.179371048186983;-4.28279945520642;1.43012184027971;1.43012184027971;0.635652218904606;1.43012184027971;-1.43715505720508;1.43012184027971;0.688114865646367;-5.64984525942555;5.41261727380789;0.925639099847659;0.0418817294769498;23.8767599258375;-5.64984525942555;-1.04382870127648;0.97795994590575;5442.70241172831;-4.22609095107591;-5.57503571567226;-1.20241571977316;23.8767599258375;-0.958011595942049;-0.178094433867632;-0.176995997957947;-4.28279945520642;-4.28279945520642;4.69874533949992;1.11233852525441;-0.236625290741888;1.01405601200518
6;13.8510536095305;7.03145427993499;-5.44466577540218;10.4754344016911;24.3264880112216;3.30529085140582;31.1579800809451;31.1579800809451;-0.174743862126413;-5.44466577540218;1.31925379917806;1.31925379917806;0.580630970416629;1.31925379917806;-1.42349000293817;1.31925379917806;0.671305382198502;-7.26460829956967;5.08467523252182;0.872871646523785;0.0320945066850325;31.1579800809451;-7.26460829956967;-1.42872611668586;0.92377933868004;3937.94607194098;-4.28901033560072;-5.72266165936394;-1.57970750151233;31.1579800809451;-0.699924211030486;-0.138953944163919;-0.137653670888111;-5.44466577540218;-5.44466577540218;4.59870469223886;1.19500007358039;-0.233154019634681;0.912948288773223
7;7.59801282741323;2.92914613243281;-2.57389688710484;11.1588673750872;18.7568802025004;1.33371198497829;17.3116008609923;17.3116008609923;-0.148680466224503;-2.57389688710484;1.94844241231295;1.94844241231295;0.56466732844664;1.94844241231295;-1.34929414943675;1.94844241231295;0.609552968041293;-3.10872054437404;4.12233372595215;0.996384024234712;0.05776473291117;17.3116008609923;-3.10872054437404;-0.754116660862048;1.00365626040117;5426.11986423091;-5.56872212020526;-6.72583309289621;-0.616405205475533;17.3116008609923;-1.3260547762688;-0.349253995118551;-0.321675745930182;-2.57389688710484;-2.57389688710484;5.04330676762501;0.920012742089046;-0.179574411941234;1.15244793864411
8;7.55594547741221;2.7809141549061;-2.6239908924341;11.6880098048445;19.2439552822567;1.22919739512126;17.5770775276617;17.5770775276617;-0.149284822138642;-2.6239908924341;2.02634064555353;2.02634064555353;0.568399897968273;2.02634064555353;-1.35096310968363;2.02634064555353;0.610435317840708;-2.94867075435891;4.13393562505291;0.999350725148863;0.0568922790734843;17.5770775276617;-2.94867075435891;-0.713284149005386;0.994703075384187;5314.23395569291;-5.96101735050553;-6.69860462486462;-0.62756974276801;17.5770775276617;-1.40196582441151;-0.370816641041044;-0.339135862666843;-2.6239908924341;-2.6239908924341;4.69855468390376;0.924200024599845;-0.167756599452809;1.10297917974417
9;6.96781400451833;2.211644875696;-2.35207068901786;12.3455575864184;19.3133715909368;0.977264460417709;16.3480184428842;16.3480184428842;-0.1438749715897;-2.35207068901786;2.47520413040367;2.47520413040367;0.528005696233113;2.47520413040367;-1.33610738342005;2.47520413040367;0.581106902862827;-2.35574457716081;3.7744878434821;1.05790161738726;0.0611694930179914;16.3480184428842;-2.35574457716081;-0.624122973724442;0.993481161804984;5562.75160683426;-6.9396396372425;-6.95047921782936;-0.511077911552323;16.3480184428842;-1.60224834223377;-0.46454964397736;-0.424494238337682;-2.35207068901786;-2.35207068901786;4.60936488138488;0.817112284782421;-0.144099701464809;1.18061949359504
10;7.05352379708347;3.02547214026407;-2.29224200113743;8.68494739569222;15.7384711927757;1.53397077628934;16.4548292071408;16.4548292071408;-0.139305122665307;-2.29224200113743;1.90040024982956;1.90040024982956;0.740147927151981;1.90040024982956;-1.32370384983978;1.90040024982956;0.558447955047144;-3.22123439034873;3.52947738066423;1.03353364956044;0.0607724326646938;16.4548292071408;-3.22123439034873;-0.912666109718065;1.05951232937757;5313.45846654253;-5.1082371579174;-7.17848691323856;-0.619247985383326;16.4548292071408;-1.0956909535174;-0.297525942735672;-0.310439998714822;-2.29224200113743;-2.29224200113743;5.20184880109821;1.0136165287491;-0.195762250084664;1.09963513093181
