LabelName;LabelNumber;ARI1;ARI2;CI;CRI1;CRI2;Datt6;DWSI4;GI;GM1;GM2;LIC1;NDI;NDVI;NDVI4;NDVIg;PSNDa1;PSNDc1;PSSRa1;PSSRc1;RDVI;RGI;RGR;RVI;RVI2;SAVI;SIPI1;SR.550.800.;SR.556.750.;SR.605.670.;SR.555.675.;SR.683.510.;SR.694.840.;SR.695.800.;SR.750.705.;SR.752.690.;SR.800.600.;SR.800.960.;SR.810.560.;WBI3
data#2025-2-20_11-57-59_dataFiles#S0012_20250220_000508_36_c0b001de-1426-4fb2-bc67-ada612f3f309_R0003;36;-8.9161770155002315619;-3.6678873127662261489;4.087266652215147289;10.826178321577113906;1.9100013060768823436;-0.68883410137615219693;-46.577158520245873774;-46.577158520245873774;-0.08775259766948897977;4.087266652215147289;0.56434550102203806521;0.56434550102203806521;0.56434550102203806521;0.56434550102203806521;-1.1923877172909633781;0.56434550102203806521;0.62801214217704970366;3.5907938623197179773;4.3765195770231599681;0.40927232391865514538;-0.021469751091950491084;-46.577158520245873774;3.5907938623197179773;0.82046790814588788088;0.43396009426197429404;1.4001094217657537033;-12.971270506226215247;-12.971270506226215247;0.8134674071136588358;-46.577158520245873774;1.2188167143061363618;0.27206053145761877055;0.27848994911503549554;4.087266652215147289;4.087266652215147289;4.4141828313202564615;0.8615792870076558474;-0.077093450446507894025;1.2253593151741051237
data#2025-2-20_11-57-59_dataFiles#S0013_20250220_000623_41_3923af63-68d5-430a-a239-5077cb3837d8_R0001;37;43.042701500156994143;6.845209876510944369;-10.166981732334155808;10.823902225625587903;53.866603725782582046;1.2023637602449301909;259.5855199982212298;259.5855199982212298;-0.039166212862735270972;-10.166981732334155808;1.3406179232819148694;1.3406179232819148694;1.3406179232819148694;1.3406179232819148694;-1.081525469622437452;1.3406179232819148694;0.25785354592306447552;-6.8716816212418869725;1.6948858800215564901;0.49419503689863930607;0.0038522949970662937087;259.5855199982212298;-6.8716816212418869725;-4.0543624218254086244;0.4297354375313179875;0.89597932736560170763;-37.776127344984232082;-37.776127344984232082;-2.1030385588453155421;259.5855199982212298;-0.24664790562797461737;-0.13843931484272717358;-0.14552478637962198982;-10.166981732334155808;-10.166981732334155808;3.2675014884248345659;0.71429483455629549926;-0.02647174473094252023;2.6810410089254435029
data#2025-2-20_11-57-59_dataFiles#S0013_20250220_000623_41_3923af63-68d5-430a-a239-5077cb3837d8_R0002;38;43.045634654419558274;8.0905795510040157126;-11.161836089898587332;12.716224737790010835;55.761859392209572661;1.3856540698427817215;264.24182200019936317;264.24182200019936317;-0.042240989732087778907;-11.161836089898587332;1.2808470478421505323;1.2808470478421505323;1.2808470478421505323;1.2808470478421505323;-1.088207971481827796;1.2808470478421505323;0.40464231844641457281;-8.1213139513721976925;2.3593250947581654309;0.51998336080023033201;0.0037844122948836067012;264.24182200019936317;-8.1213139513721976925;-3.4422191199575422615;0.47629403363301747731;0.91023030000165372488;-32.536831303702079765;-32.536831303702079765;-1.657653803165508366;264.24182200019936317;-0.29051026827494191851;-0.11801016173973481738;-0.12313278442228396681;-11.161836089898587332;-11.161836089898587332;4.8992823084431016412;0.8033358587815517815;-0.03073440036818271201;1.7368901741316935539
data#2025-2-20_11-57-59_dataFiles#S0013_20250220_000623_41_3923af63-68d5-430a-a239-5077cb3837d8_R0003;39;33.193895189614487151;4.3081717854161318826;-5.7916622661195518162;12.860328858117352269;46.054224047731842973;0.78683690507870707176;182.30690320839090646;182.30690320839090646;-0.031768749093934386951;-5.7916622661195518162;1.6002520670166868744;1.6002520670166868744;1.6002520670166868744;1.6002520670166868744;-1.0656222344903769628;1.6002520670166868744;0.24395796909308653522;-4.3319335490841401892;1.6453555731562852227;0.5056069865170987887;0.0054852558098522612856;182.30690320839090646;-4.3319335490841401892;-2.632825159350931532;0.39948710447570290327;0.83869915253851601289;-42.084418226344752156;-42.084418226344752156;-1.5406942122436342313;182.30690320839090646;-0.37982013216803550693;-0.23268005449498288528;-0.23084379958030995517;-5.7916622661195518162;-5.7916622661195518162;2.8116763953930656861;0.7210324405934557257;-0.023761763668007706424;3.9965365445289164903
data#2025-2-20_11-57-59_dataFiles#S0014_20250220_001110_48_0c00cf72-5f2e-49fd-9777-19a0d6fd99a6_R0001;40;-13.103629980505347774;-2.7834641654640215336;4.2965760189924999679;9.3995620037867340102;-3.7040679767186137639;-0.54388044599905360776;-62.535555984424085807;-62.535555984424085807;-0.068706129678652902437;4.2965760189924999679;0.46519125265195199193;0.46519125265195199193;0.46519125265195199193;0.46519125265195199193;-1.1475498376359882791;0.46519125265195199193;0.32268573066326083909;2.7396546146961586743;1.9528390151273535835;0.25049345663208105739;-0.015990902843321212756;-62.535555984424085807;2.7396546146961586743;1.4029085825681810729;0.25612411606811708031;1.6059137552542255278;-22.826072910420350581;-22.826072910420350581;1.2155851114543321234;-62.535555984424085807;0.71280482023239755129;0.37920263047407559709;0.36500951420509808454;4.2965760189924999679;4.2965760189924999679;2.2537744077980867985;0.71740421404267407102;-0.043809550767862880105;2.2811817678583983238
data#2025-2-20_11-57-59_dataFiles#S0014_20250220_001110_48_0c00cf72-5f2e-49fd-9777-19a0d6fd99a6_R0002;41;-11.112835661532770359;-3.3357061229428013327;4.3865695103308643965;7.0432148327956749512;-4.0696208287370954082;-0.55662652479700114316;-59.894409739526032865;-59.894409739526032865;-0.073238379498313049831;4.3865695103308643965;0.53281153310873563544;0.53281153310873563544;0.53281153310873563544;0.53281153310873563544;-1.1580522496360319273;0.53281153310873563544;0.34626890087331352319;3.2809275950416170176;2.0593618732102267899;0.33344612904283510435;-0.016696049002718052479;-59.894409739526032865;3.2809275950416170176;1.5931768174027411966;0.35105240684139021878;1.4585119421783161453;-18.255328106003602784;-18.255328106003602784;1.0345211957995943397;-59.894409739526032865;0.62767672054771606049;0.3278563269087759191;0.30479185261853225519;4.3865695103308643965;4.3865695103308643965;3.1714455038359532502;0.85289133688199669781;-0.054778527901184724536;1.3711617179093984475
data#2025-2-20_11-57-59_dataFiles#S0014_20250220_001110_48_0c00cf72-5f2e-49fd-9777-19a0d6fd99a6_R0003;42;-15.90423789833729451;-4.8214492115227178815;5.8060900162731563512;8.0871900195782409071;-7.8170478787590544911;-0.87884835885005230249;-88.598711693681750035;-88.598711693681750035;-0.065532442913469671208;5.8060900162731563512;0.65323757636566037732;0.65323757636566037732;0.65323757636566037732;0.65323757636566037732;-1.1402562184561781944;0.65323757636566037732;0.41139431451073821266;4.7676376207042450162;2.3978604850504572354;0.39559508691790806756;-0.011286845834252837162;-88.598711693681750035;4.7676376207042450162;1.9882881637310612088;0.41460309490576119362;1.2829211893639780317;-18.583356945781147829;-18.583356945781147829;1.4033139565217900291;-88.598711693681750035;0.50294520595217984127;0.20197478389995546233;0.20974748492992348337;5.8060900162731563512;5.8060900162731563512;3.3974133860402573326;0.9195761100277339839;-0.053811590818472823661;1.0530981967845378655
data#2025-2-20_11-57-59_dataFiles#S0015_20250220_001223_24_0b2dc0c0-bc91-4ea6-9551-6db71f34dab3_R0001;43;-8.1623095691765978899;-4.2156266129423602962;3.7851807403563677568;8.9574712455165297342;0.79516167633993184438;-0.90433804530444950043;-35.52380375027611592;-35.52380375027611592;-0.10655336255557786018;3.7851807403563677568;0.60785892026529009247;0.60785892026529009247;0.60785892026529009247;0.60785892026529009247;-1.2385220517710127108;0.60785892026529009247;0.63708196179544396287;4.1002052663113843778;4.5108861766543411065;0.4872124305010572809;-0.028150138623379464264;-35.52380375027611592;4.1002052663113843778;0.90895782020207094298;0.51273456463900513036;1.3332968631190178499;-8.6639086199296428958;-8.6639086199296428958;0.82373453022778830857;-35.52380375027611592;1.1001610611344863067;0.2471190692835654179;0.24389022867131168737;3.7851807403563677568;3.7851807403563677568;4.9775809024025612359;1.0978299355380336522;-0.11542134663097598779;1.1584856599489565809
data#2025-2-20_11-57-59_dataFiles#S0015_20250220_001223_24_0b2dc0c0-bc91-4ea6-9551-6db71f34dab3_R0002;44;-5.3964826624847290759;-2.7769427795191576891;2.4616309960872420071;8.5893327802284780148;3.1928501177437489389;-0.70161565729509534073;-19.132769145951151302;-19.132769145951151302;-0.12866046609924047806;2.4616309960872420071;0.45040016667660393024;0.45040016667660393024;0.45040016667660393024;0.45040016667660393024;-1.295316489367264623;0.45040016667660393024;0.6213555738103431203;2.6390112928275906157;4.2820003720277473036;0.37940031952793301651;-0.052266349547818516386;-19.132769145951151302;2.6390112928275906157;0.61630337775470189765;0.39632849926438334931;1.6232442103415476442;-7.2499762308524218213;-7.2499762308524218213;0.63439469122625669062;-19.132769145951151302;1.6225775098672512442;0.38203926444018365682;0.37892979189510844762;2.4616309960872420071;2.4616309960872420071;4.159888677073415586;1.0048904614645777222;-0.13793148669156729547;1.092530299248804182
data#2025-2-20_11-57-59_dataFiles#S0015_20250220_001223_24_0b2dc0c0-bc91-4ea6-9551-6db71f34dab3_R0003;45;-6.3410706135098315883;-3.224873979043646699;2.8698767514019314362;8.3791556702741676332;2.0380850567643351567;-0.76552707640766604058;-24.373480880006752614;-24.373480880006752614;-0.11774587165167915703;2.8698767514019314362;0.51193058124124979358;0.51193058124124979358;0.51193058124124979358;0.51193058124124979358;-1.2669205342730731623;0.51193058124124979358;0.61046184757001897836;3.0977777404828308327;4.1342852748152756348;0.41988970366671257706;-0.041028198020754878816;-24.373480880006752614;3.0977777404828308327;0.74928978881875607509;0.44050241512309729064;1.4888702556109019159;-7.8680534634508081382;-7.8680534634508081382;0.73981117238965865557;-24.373480880006752614;1.3345971277367660868;0.32645399149120446491;0.3228120555363460098;2.8698767514019314362;2.8698767514019314362;4.1872546077896091177;1.0683745316456167984;-0.1270962385608161993;1.1077728315562072048
