"sample";"ARI1";"ARI2";"CI";"CRI1";"CRI2";"Datt6";"DWSI4";"GI";"GM1";"GM2";"LIC1";"NDI";"NDVI";"NDVI4";"NDVIg";"NDWI";"PSNDa1";"PSNDc1";"PSSRa1";"PSSRc1";"RDVI";"RGI";"RGR";"RVI";"RVI2";"SAVI";"SIPI1";"SR.550.800.";"SR.556.750.";"SR.605.670.";"SR.555.675.";"SR.683.510.";"SR.694.840.";"SR.695.800.";"SR.750.705.";"SR.752.690.";"SR.800.600.";"SR.800.960.";"SR.810.560.";"WBI3"
1;-3.4345487186142;-3.13009916941084;0.769724942995522;3.0889529958435;-0.345595722770703;-2.63485914815947;-0.690624789382539;-0.540118602600299;-1.88114501896027;1.29916538251745;0.122288844094269;0.122288844094269;0.0529514330182545;0.122288844094269;3.26977393841476;-3.34894738362665;0.122288844094269;-0.0184891619322445;1.27865395870029;0.963692962825118;0.155845304876314;-1.4479642424855;0.263786258360978;1.27865395870029;1.32682712028097;0.140254286021799;5551709.68104077;-0.540118602600299;-0.531591126638769;1.27042691157871;-0.690624789382539;-0.520508496416844;0.771018936168892;0.782072423266471;1.29916538251745;1.29916538251745;1.00647581300947;1.00347350953319;-1.85144521071055;0.96137106627989
2;-2.62874476560435;-2.38479279351844;0.731715369290418;2.2294728725096;-0.399271893094745;-1.5701169145217;-1.26244692726881;-0.948697485759703;-1.08254184596605;1.36665162707974;0.141894595242368;0.141894595242368;0.0629060960955652;0.141894595242368;25.2301341409631;-37.9844441274783;0.141894595242368;-0.0160034670096485;1.33071600401455;0.968497219686168;0.178862360318433;-0.792112506593376;0.0446842226163659;1.33071600401455;1.3740008509738;0.161896826517036;735927.502694931;-0.948697485759703;-0.923751819596048;1.31360921653386;-1.26244692726881;-0.91881087728153;0.740010749624367;0.751475143443953;1.36665162707974;1.36665162707974;1.01302273710124;1.00882455639211;-1.05407678950389;0.962354570898955
3;-2.53259261998391;-2.29309004605279;0.726516947031155;2.11886038014963;-0.413732239834282;-1.42673088391761;-1.43575797549705;-1.06221645316103;-0.958678556526293;1.37643038347062;0.149537768701935;0.149537768701935;0.0658705194336259;0.149537768701935;-47.4010197095992;33.1458376102476;0.149537768701935;-0.0116051404825488;1.35166233889939;0.977055987522932;0.187686120556188;-0.696496218071717;-0.0208455799077334;1.35166233889939;1.38340315822246;0.170264599589544;-1530738.30860468;-1.06221645316103;-1.04310250103375;1.32943655354893;-1.43575797549705;-1.03784494560636;0.728767742850196;0.739829742400209;1.37643038347062;1.37643038347062;1.01671819936884;1.0098682509008;-0.941427707153396;0.9653602975254
4;9.29131649640686;5.14972507433533;-0.258926419574983;7.65435926343945;16.9456757598463;2.5720087186096;19.5248257883404;-3.59724558514055;-0.197804636199496;-3.86210106192121;1.45170020043821;1.45170020043821;0.964717023621506;1.45170020043821;-1.49315826324992;1.77004654909896;1.45170020043821;0.597135535487772;-5.42771554685986;3.9644487816058;0.976138963636754;0.0512168462264677;-6.75950946160057;-5.42771554685986;-1.36909715470239;1.03404270201578;-15295.4007560396;-3.59724558514055;-5.05549323420028;-1.27246042198268;19.5248257883404;-14.2610958771473;-0.195007217307528;-0.184239573972983;-3.86210106192121;-3.86210106192121;4.26552799057018;1.09923777039335;-0.277990472524529;1.02616667205261
5;10.0044331542751;5.10628248002134;-0.246564386174149;11.413554986692;21.417988140967;2.43584691364188;22.6855615849253;-4.24683939240953;-0.178780487858959;-4.05573576750739;1.46064356825478;1.46064356825478;0.957453996511895;1.46064356825478;-1.43540243556282;1.61598365619057;1.46064356825478;0.696511328935852;-5.34175170962944;5.5900318222332;0.940786482302724;0.044080901248859;-7.65141142260151;-5.34175170962944;-0.955585205863001;0.993523400995306;-3923.14569323167;-4.24683939240953;-5.59345156720295;-1.13376957285494;22.6855615849253;-23.7399673474828;-0.189396444906921;-0.187204507876569;-4.05573576750739;-4.05573576750739;4.71149679575402;1.12223829464723;-0.235469229608099;0.992222723581495
6;11.7924073920974;5.986867882503;-0.21320451524786;10.9915412456838;22.7839486377811;2.9477489141511;25.6322491810173;-4.11437995032537;-0.18298558790372;-4.69033218568309;1.38241518304766;1.38241518304766;0.889502435174493;1.38241518304766;-1.44793723389584;1.64218240288602;1.38241518304766;0.684404574947679;-6.2299178710975;5.33722747935408;0.902492016377978;0.0390133535663574;-6.8864448223082;-6.2299178710975;-1.16725732511807;0.954193440005043;1022.36067854551;-4.11437995032537;-5.46491126135115;-1.33727818812536;25.6322491810173;-21.95938173138;-0.162408186538706;-0.160515759708376;-4.69033218568309;-4.69033218568309;4.65865511485745;1.20128364806243;-0.243049988594495;1.10882238597981
7;7.29907383032077;2.8115890767787;-0.389167251780413;11.2070930217667;18.5061668520875;1.28426908220514;16.6698312676633;-5.5733006637003;-0.154146088409888;-2.56958928436314;2.00451228633747;2.00451228633747;1.06666366149138;2.00451228633747;-1.36447449446704;1.43732090826099;2.00451228633747;0.610707384191104;-2.99101596585956;4.13752359736975;1.0150297552149;0.0599886095991767;-10.007601542764;-2.99101596585956;-0.722900038022977;1.01925084098081;14937.4299770635;-5.5733006637003;-6.4873524220797;-0.587531735859372;16.6698312676633;-23.0596630112965;-0.362699877732286;-0.33433455769355;-2.56958928436314;-2.56958928436314;5.09081600755515;0.90177402135286;-0.179426889080853;0.854172829271649
8;7.05377059107261;2.60091056434218;-0.403608317533598;11.9515917328348;19.0053623239074;1.23467800756262;15.5058206835679;-5.57720856781429;-0.15978835845105;-2.47764963346365;2.12346187015706;2.12346187015706;1.09761906102894;2.12346187015706;-1.38035264104762;1.43694753480614;2.12346187015706;0.617412677677831;-2.78021173047947;4.22756475008296;1.03179496519007;0.0644919105158837;-9.97433058596174;-2.78021173047947;-0.657639065238424;1.02163597537595;8848.02923968158;-5.57720856781429;-6.2582781980725;-0.594665709202043;15.5058206835679;-23.5780103451524;-0.393844979823974;-0.359684835883899;-2.47764963346365;-2.47764963346365;4.67525146894736;0.931070826747913;-0.179301166137292;0.914490657764094
9;6.75547079492728;2.14424529082241;-0.43596139418592;12.3954135867272;19.1508843816544;1.06726167834703;14.4078657401578;-6.25295333399816;-0.159203391181345;-2.29378108551864;2.53354273413779;2.53354273413779;1.14520027873244;2.53354273413779;-1.37869655874333;1.38073820055769;2.53354273413779;0.581106902862827;-2.30416972118124;3.7744878434821;1.07385954077852;0.0694065323785454;-10.439064741215;-2.30416972118124;-0.6104589064077;1.00454566691898;35182.2690297173;-6.25295333399816;-6.28127323532277;-0.478949232190599;14.4078657401578;-23.6016963450369;-0.472090273350615;-0.433995808037676;-2.29378108551864;-2.29378108551864;4.8108850924398;0.825479165214706;-0.15992443035883;0.859427471645176
10;7.15384553514704;3.07684795129375;-0.429163520367536;8.16668701060654;15.3205325457536;1.74732304271621;15.060182455693;-4.56967087040522;-0.154720181958347;-2.33011416987072;1.87120076714159;1.87120076714159;1.19691667650695;1.87120076714159;-1.36608038818862;1.56027574322923;1.87120076714159;0.534194106540972;-3.29568209238613;3.29363395372309;1.02420488353582;0.0664002579611498;-11.5503854036031;-3.29568209238613;-1.00062184768916;1.0516593934635;26657.1172797578;-4.56967087040522;-6.46328092006263;-0.606798313331702;15.060182455693;-15.0508231361059;-0.291189290369145;-0.303427324592458;-2.33011416987072;-2.33011416987072;5.43126442506206;1.02778452388338;-0.218834141092381;0.946641957862022
11;7.18329958156397;2.9673359674696;-0.451300965677174;10.1371860389624;17.3204856205264;1.60529415262876;15.5149383213322;-4.89157226564736;-0.142818242292826;-2.21581622033427;1.92090816413688;1.92090816413688;1.15581153095586;1.92090816413688;-1.33322744215846;1.51393109609062;1.92090816413688;0.598644882726976;-3.17176921422399;3.98311822604591;1.02160737555141;0.0644540106630689;-12.0880509327313;-3.17176921422399;-0.796303055601903;1.04105728447052;29636.5833728422;-4.89157226564736;-7.001906646839;-0.692143429875381;15.5149383213322;-19.4837106453207;-0.308286254048272;-0.315281450969207;-2.21581622033427;-2.21581622033427;4.58253170848571;1.06409740281428;-0.204433246754386;0.947928376969942
12;6.5659212729378;2.64111064810549;-0.530448332832613;11.0940529066844;17.6599741796222;1.37257156659445;14.717982807385;-5.19402048423269;-0.12808805173809;-1.88519774331265;2.09072680214332;2.09072680214332;1.24180371577649;2.09072680214332;-1.29380960312202;1.47686939239304;2.09072680214332;0.620493431310484;-2.8336397309298;4.27000100922166;1.06666350896881;0.0679440935002475;-15.3184662482964;-2.8336397309298;-0.663615705197765;1.07366452744684;9721.90161249064;-5.19402048423269;-7.80712944283642;-0.29486764707092;14.717982807385;-22.1784727095916;-0.34871483126917;-0.352903013422907;-1.88519774331265;-1.88519774331265;9.60986991647906;1.14019348431556;-0.19252908282431;0.985564706937358
13;13.8603881846535;7.87698353883555;-0.159284166887165;9.55535750501307;23.4157456896666;4.4284333536098;28.4350515702009;-3.48293879693147;-0.220786935430868;-6.27808789500333;1.27916985055171;1.27916985055171;0.851425372350471;1.27916985055171;-1.56669207812359;1.80549709983657;1.27916985055171;0.674441118027679;-8.16409739822378;5.1432819399166;0.90333146734258;0.035167863069676;-5.41498959529829;-8.16409739822378;-1.58733227025003;0.958126895414892;44453.4036354167;-3.48293879693147;-4.52925349975301;-1.68470096040344;28.4350515702009;-17.9137362120925;-0.114082623445517;-0.122487514690548;-6.27808789500333;-6.27808789500333;4.84602169174802;0.923943110498595;-0.287113859388232;0.864647334875093
